Player,HockeyRefID,GP,A,G
Janne Laukkanen,laukkja01,466,108,29
Cam Janssen,janssca01,355,8,6
Ken Linseman,linseke01,973,628,299
Jim Niekamp,niekaji01,29,2,0
John Paddock,paddojo01,92,14,10
Ed Zeniuk,zeniued01,2,0,0
Luke Witkowski,witkolu01,121,9,1
Ted Speers,speerte01,4,1,1
Jim Wiemer,wiemeji01,387,80,34
Pat Quinn*,quinnpa01,11,1,0
Oliver Ekman-Larsson,ekmanol01,673,221,117
Ryan Barnes,barnery01,2,0,0
Bob McCord,mccorbo01,330,63,12
Matt Hussey,hussema01,21,2,2
Karel Pilar,pilarka01,101,28,6
Dave Cameron,camerda01,168,28,25
Ryan Hollweg,hollwry01,246,11,5
Radoslav Suchy,suchyra01,461,59,14
John Michaluk,michajo01,1,0,0
Alexander Nikulin,nikulal01,3,0,0
Jason McBain,mcbaija01,9,0,0
Lauri Korpikoski,korpila01,639,118,88
Patrick Boileau,boilepa01,48,11,5
Hunter Shinkaruk,shinkhu01,15,2,2
Gord Wilson,wilsogo01,2,0,0
Ric Jackman,jackmri01,238,59,20
Brett Sutter,suttebr04,60,8,2
John Pohl,pohljo01,115,21,17
Scott Morrow,morrosc01,4,0,0
Mike Boland,bolanmi01,2,0,0
Pat Conacher,conacpa01,588,86,74
Mitch Fritz,fritzmi01,20,0,0
Jim Jones,jonesji01,2,0,0
John Druce,drucejo01,584,132,130
Andrei Kostitsyn,kostian01,447,128,117
Anders Hakansson,hakanan01,336,46,52
Michael Kapla,kaplami01,5,0,0
Ken Thompson,thompke01,1,0,0
Jimmy Peters,peterji02,320,38,37
Emile Poirier,poiriem01,8,1,0
Ken Kilrea,kilreke01,105,26,18
Peter LeBoutillier,leboupe01,35,1,2
Mikko Lehtonen,lehtomi02,2,0,0
Mark Paterson,paterma01,29,3,3
Nick Bjugstad,bjugsni01,435,111,98
Daniel Guerard,guerada01,2,0,0
John Wensink,wensijo01,445,74,72
Dustin Jeffrey,jeffrdu01,131,15,18
Nathan McIver,mcivena01,36,1,0
Greg Adams,adamsgr02,1137,410,375
Brad Zavisha,zavisbr01,2,0,0
Bob Hassard,hassabo01,126,28,9
Geoff Sanderson,sandege01,1152,354,363
Murray Baron,baronmu01,1056,102,37
Jason Zent,zentja01,27,3,3
Jim Watson,watsoji01,221,19,4
