Season Start,Goal Average
2019,3.08
2018,3.01
2017,2.97
2016,2.77
2015,2.71
2014,2.73
2013,2.74
2012,2.72
2011,2.73
2010,2.79
2009,2.84
2008,2.91
2007,2.78
2006,2.95
2005,3.08
2003,2.57
2002,2.65
2001,2.62
2000,2.76
1999,2.75
1998,2.63
1997,2.64
1996,2.92
1995,3.14
1994,2.99
1993,3.24
1992,3.63
1991,3.48
1990,3.46
1989,3.68
1988,3.74
1987,3.71
1986,3.67
1985,3.97
1984,3.89
1983,3.94
1982,3.86
1981,4.01
1980,3.84
1979,3.51
1978,3.5
1977,3.3
1976,3.32
1975,3.41
1974,3.43
1973,3.2
1972,3.28
1971,3.07
1970,3.12
1969,2.9
1968,2.98
1967,2.79
1966,2.98
1965,3.04
1964,2.88
1963,2.78
1962,2.97
1961,3.01
1960,3
1959,2.95
1958,2.9
1957,2.8
1956,2.69
1955,2.53
1954,2.52
1953,2.4
1952,2.4
1951,2.6
1950,2.71
1949,2.73
1948,2.72
1947,2.93
1946,3.16
1945,3.34
1944,3.68
1943,4.08
1942,3.61
1941,3.12
1940,2.68
1939,2.49
1938,2.53
1937,2.53
1936,2.46
1935,2.16
1934,2.52
1933,2.41
1932,2.28
1931,2.49
1930,2.4
1929,2.96
1928,1.46
1927,1.9
1926,2
1925,2.31
1924,2.5
1923,2.66
1922,3.26
1921,3.96
1920,4.23
1919,4.79
1918,4.13
1917,4.75
