Round,Pick,Pick Value,Value Standardization,Year,Player,Pos.,College,Original Pick,Drafting Team,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,Year,WS Standardized,Value
1,1,4000,1,2019,Zion Williamson,PF,Duke,NOP,New Orleans Hornets/Pelicans,1,19,565,448,129,41,0.589,0.462,0.645,29.7,23.6,6.8,2.2,1.8,0.149,2.4,0.6,2019,0.543859649,-0.456140351
1,2,3100,0.772151899,2019,Ja Morant,PG,Murray State,MEM,Vancouver/Memphis Grizzlies,1,59,1771,1041,208,409,0.491,0.367,0.77,30,17.6,3.5,6.9,3.4,0.093,0.4,1.1,2019,0.824561404,0.052409505
1,3,2670,0.663291139,2019,RJ Barrett,SG/SF,Duke,NYK,New York Knicks,1,56,1704,803,279,143,0.402,0.32,0.614,30.4,14.3,5,2.6,-0.5,-0.015,-4.3,-1,2019,0.140350877,-0.522940262
1,4,2410,0.597468354,2019,De'Andre Hunter,SF,Virginia,LAL,Atlanta Hawks ,1,63,2018,778,286,112,0.41,0.355,0.764,32,12.3,4.5,1.8,0.1,0.001,-4.7,-1.4,2019,0.245614035,-0.351854319
1,5,2240,0.55443038,2019,Darius Garland,PG,Vanderbilt,CLE,Cleveland Cavaliers,1,59,1824,728,111,229,0.401,0.355,0.875,30.9,12.3,1.9,3.9,-1.3,-0.035,-5.6,-1.7,2019,0,-0.55443038
1,6,2110,0.521518987,2019,Jarrett Culver,SG,Texas Tech,PHO,Minnesota Timberwolves ,1,63,1506,580,212,110,0.404,0.299,0.462,23.9,9.2,3.4,1.7,-0.1,-0.004,-4,-0.8,2019,0.210526316,-0.310992672
1,7,2000,0.493670886,2019,Coby White,PG,UNC,CHI,Chicago Bulls,1,65,1674,859,230,175,0.394,0.354,0.791,25.8,13.2,3.5,2.7,0.9,0.026,-2.8,-0.3,2019,0.385964912,-0.107705974
1,8,1910,0.470886076,2019,Jaxson Hayes,C,Texas,ATL,New Orleans Hornets/Pelicans,1,56,951,420,223,51,0.66,0.25,0.63,17,7.5,4,0.9,3.5,0.176,0.1,0.5,2019,0.842105263,0.371219187
1,9,1830,0.450632911,2019,Rui Hachimura,PF,Gonzaga,WAS,Washington Bullets/Wizards,1,41,1217,548,248,70,0.478,0.274,0.829,29.7,13.4,6,1.7,1.7,0.066,-3,-0.3,2019,0.526315789,0.075682878
1,10,1720,0.42278481,2019,Cam Reddish,SF,Duke,ATL,Atlanta Hawks ,1,58,1551,610,216,87,0.384,0.332,0.802,26.7,10.5,3.7,1.5,-0.4,-0.011,-4.2,-0.9,2019,0.157894737,-0.264890073
1,11,1600,0.392405063,2019,Cameron Johnson,SF,UNC,MIN,Minnesota Timberwolves ,1,49,996,398,140,52,0.418,0.397,0.761,20.3,8.1,2.9,1.1,1.8,0.086,-0.2,0.5,2019,0.543859649,0.151454586
1,12,1500,0.367088608,2019,P. J. Washington,PF,Kentucky,CHO,Charlotte Hornets/Bobcats,1,58,1759,710,316,123,0.455,0.374,0.647,30.3,12.2,5.4,2.1,2,0.054,-1.6,0.2,2019,0.578947368,0.211858761
