Name,BaseballRefID,Age,Position,Pos,Bats,Throws,Height,Weight,Season,Yrs,G,GS,Salary,Moneyball,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,WAR,WAR%,Movie Time,Movie%,Difference
Micah Bowie,bowiemi01,27,Reliever,RP,L,L,"6' 4""",185,2002,2,13,0,,N,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,2,0,1,1.5,13,0,4,0,0,0,12,12,2,2,1,8,1,8,1,0,0,55,297,4.96,1.667,9,0.8,6,6,1,0.5,0.9,0,0.0,-0.9
Chad Bradford,bradfch01,27,Reliever,RP,R,R,"6' 5""",205,2002,5,75,0,"$235,000",Y,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,4,2,0.667,3.11,75,0,14,0,0,2,75.1,73,29,26,2,14,5,56,5,1,0,311,140,2.58,1.155,8.7,0.2,1.7,6.7,4,1.6,3.0,208,8.8,5.7
Eric Byrnes,byrneer01,26,Hitter,OF,R,R,"6' 2""",200,2002,3,90,19,,N,104,94,24,23,4,2,3,11,3,0,4,17,0.245,0.291,0.426,0.717,90,40,3,3,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.4,0,0.0,-0.4
Eric Chavez,chaveer01,24,Hitter,3B,L,R,"6' 1""",215,2002,5,153,151,"$2,125,000",N,653,585,87,161,31,3,34,109,8,3,65,119,0.275,0.348,0.513,0.86,127,300,8,1,0,2,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,8.0,98,4.1,-3.8
Mike Colangelo,colanmi01,25,Hitter,OF,R,R,"6' 1""",185,2002,3,20,5,"$300,000",N,26,23,2,4,1,0,0,0,0,0,1,2,0.174,0.24,0.217,0.457,25,5,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,-0.6,0,0.0,0.6
Ray Durham,durhara01,30,Hitter,2B/DH,B,R,"5' 8""",170,2002,8,54,54,,N,248,219,43,60,14,4,6,22,6,2,24,34,0.274,0.35,0.457,0.806,115,100,2,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,2.3,31,1.3,-1.0
Jermaine Dye,dyeje01,28,Hitter,OF,R,R,"6' 4""",210,2002,7,131,128,"$7,166,667",N,555,488,74,123,27,1,24,86,2,0,52,108,0.252,0.333,0.459,0.792,110,224,15,10,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,2.8,5,0.2,-2.6
Mark Ellis,ellisma01,25,Hitter,2B,R,R,"5' 10""",190,2002,1st,98,91,,N,404,345,58,94,16,4,6,35,4,2,44,54,0.272,0.359,0.394,0.753,103,136,3,4,8,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,5.1,0,0.0,-5.1
Jose Flores,florejo01,29,Hitter,2B/SS,R,R,"5' 11""",180,2002,1st,7,1,,N,5,3,2,0,0,0,0,0,1,1,1,0,0,0.4,0,0.4,22,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1,-0.2,0,0.0,0.2
Mike Fyhrie,fyhrimi01,32,Starter,SP,R,R,"6' 2""",190,2002,5,16,4,,N,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,2,4,0.333,4.44,16,4,2,0,0,0,48.2,46,25,24,3,20,1,29,4,1,1,212,98,4.05,1.356,8.5,0.6,3.7,5.4,1.45,0.5,0.9,0,0.0,-0.9
Esteban German,germaes01,24,Hitter,2B,R,R,"5' 9""",195,2002,1st,9,8,,N,40,35,4,7,0,0,0,0,1,0,4,11,0.2,0.3,0.2,0.5,39,7,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4,-0.8,0,0.0,0.8
Jeremy Giambi,giambje01,27,Hitter,OF,L,L,"6' 0""",185,2002,5,42,42,"$1,065,000",Y,187,157,26,43,7,0,8,17,0,0,27,40,0.274,0.39,0.471,0.862,131,74,4,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.1,218,9.2,8.1
Jason Grabowski,graboja01,26,Hitter,OF,L,R,"6' 3""",200,2002,1st,4,3,,N,11,8,3,3,1,1,0,1,0,0,3,1,0.375,0.545,0.75,1.295,244,6,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.4,0,0.0,-0.4
Aaron Harang,haranaa01,24,Starter,SP,R,R,"6' 7""",260,2002,1st,16,15,,N,3,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,-100,0,0,0,0,0,0,5,4,0.556,4.83,16,15,0,0,0,0,78.1,78,44,42,7,45,2,64,3,0,1,354,90,4.33,1.57,9,0.8,5.2,7.4,1.42,0.5,0.9,0,0.0,-0.9
Scott Hatteberg,hattesc01,32,Hitter,1B/DH,L,R,"6' 1""",192,2002,8,136,129,"$900,000",Y,568,492,58,138,22,4,15,61,0,0,68,56,0.28,0.374,0.433,0.807,116,213,8,6,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,6.5,641,27.0,20.6
Ramon Hernandez,hernara02,26,Hitter,C,R,R,"6' 0""",220,2002,4,136,125,"$497,500",N,457,403,51,94,20,0,7,42,0,0,43,64,0.233,0.313,0.335,0.648,75,135,11,5,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,3.0,0,0.0,-3.0
Erik Hiljus,hiljuer01,29,Starter,SP,R,R,"6' 5""",230,2002,4,9,9,"$237,500",N,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,3,3,0.5,6.5,9,9,0,0,0,0,45.2,52,36,33,11,21,1,29,0,0,1,206,67,6.2,1.599,10.2,2.2,4.1,5.7,1.38,-0.4,-0.8,0,0.0,0.8
Mike Holtz,holtzmi01,29,Reliever,RP,L,L,"5' 9""",172,2002,7,16,0,"$825,000",N,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,,6.43,16,0,7,0,0,0,14,24,11,10,3,9,0,7,1,0,0,77,69,6.89,2.357,15.4,1.9,5.8,4.5,0.78,-0.2,-0.4,0,0.0,0.4
Tim Hudson,hudsoti01,26,Starter,SP,R,R,"6' 1""",175,2002,4,34,34,"$875,000",N,6,5,1,1,1,0,0,0,0,0,1,1,0.2,0.333,0.4,0.733,96,2,0,0,0,0,0,15,9,0.625,2.98,34,34,0,4,2,0,238.1,237,87,79,19,62,9,152,8,1,7,983,145,3.6,1.255,8.9,0.7,2.3,5.7,2.45,7,13.3,8,0.3,-12.9
David Justice,justida01,36,Hitter,OF/DH,L,L,"6' 3""",195,2002,14,118,108,"$7,000,000",Y,471,398,54,106,18,3,11,49,4,1,70,66,0.266,0.376,0.41,0.785,111,163,12,1,0,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,3.0,413,17.4,14.4
Billy Koch,kochbi01,27,Reliever,RP,R,R,"6' 3""",218,2002,4,84,0,"$2,433,333",N,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,11,4,0.733,3.27,84,0,79,0,0,44,93.2,73,38,34,7,46,6,93,4,0,5,398,133,3.55,1.27,7,0.7,4.4,8.9,2.02,1.8,3.4,16,0.7,-2.7
Cory Lidle,lidleco01,30,Starter,SP,R,R,"5' 11""",175,2002,5,31,30,"$2,550,000",N,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,1,0,0,8,10,0.444,3.89,31,30,0,2,2,0,192,191,90,83,17,39,3,111,6,1,6,796,112,3.66,1.198,9,0.8,1.8,5.2,2.85,3.5,6.6,0,0.0,-6.6
